segment,x1,x2,duration,distance,weather,peak
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,35,18 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,45,6 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,55,28 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,70,12 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,55,2 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,40,13 ,1,1
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,40,29 ,1,1
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,25,20 ,1,1
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,65,27 ,1,1
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,35,26 ,1,1
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,50,11 ,1,1
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,60,6 ,1,1
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,50,16 ,1,1
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,30,29 ,2,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,30,19 ,2,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,30,15 ,2,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,40,20 ,2,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,35,9 ,2,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,30,31 ,2,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,35,9 ,2,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,35,18 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,25,24 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,30,27 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,50,16 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,35,24 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,55,11 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,30,8 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,30,36 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,40,27 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,60,10 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,60,5 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,35,8 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,50,7 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,35,10 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,35,31 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,40,27 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,35,28 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,30,10 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,55,5 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,40,14 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,30,23 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,55,13 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,40,14 ,3,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,30,13 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,35,16 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,50,33 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,60,11 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,65,10 ,1,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,60,22 ,3,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,60,26 ,3,0
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,35,7 ,3,1
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,RUMAH NO. 52 - JLN SS5A/14,55,23 ,3,1
