segment,x1,x2,duration,distance,weather,peak
9,DATARAN GLOMAC - JLN SS6/3,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,35,63,1,0
9,DATARAN GLOMAC - JLN SS6/3,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,15,47,1,0
9,DATARAN GLOMAC - JLN SS6/3,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,40,85,1,0
9,DATARAN GLOMAC - JLN SS6/3,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,10,71,1,0
9,DATARAN GLOMAC - JLN SS6/3,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,40,77,1,0
9,DATARAN GLOMAC - JLN SS6/3,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,35,78,1,1
9,DATARAN GLOMAC - JLN SS6/3,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,105,74,1,1
9,DATARAN GLOMAC - JLN SS6/3,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,135,84,1,1
9,DATARAN GLOMAC - JLN SS6/3,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,35,70,1,1
9,DATARAN GLOMAC - JLN SS6/3,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,20,64,1,1
9,DATARAN GLOMAC - JLN SS6/3,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,145,59,1,1
9,DATARAN GLOMAC - JLN SS6/3,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,15,77,1,1
9,DATARAN GLOMAC - JLN SS6/3,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,20,69,1,1
9,DATARAN GLOMAC - JLN SS6/3,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,40,69,1,1
9,DATARAN GLOMAC - JLN SS6/3,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,25,44,2,0
9,DATARAN GLOMAC - JLN SS6/3,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,35,54,2,0
9,DATARAN GLOMAC - JLN SS6/3,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,15,59,2,0
9,DATARAN GLOMAC - JLN SS6/3,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,35,48,2,0
9,DATARAN GLOMAC - JLN SS6/3,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,35,69,2,0
9,DATARAN GLOMAC - JLN SS6/3,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,15,42,2,0
9,DATARAN GLOMAC - JLN SS6/3,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,21,83,1,0
9,DATARAN GLOMAC - JLN SS6/3,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,15,75,1,0
