segment,x1,x2,duration,distance,weather,peak
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,35,186,1,0
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,40,188,1,0
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,40,162,1,0
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,30,179,1,0
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,45,167,1,0
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,35,164,1,0
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,35,153,1,1
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,45,149,1,1
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,40,140,1,1
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,35,164,1,1
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,40,175,1,1
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,30,187,1,1
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,40,163,1,1
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,30,153,1,1
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,30,152,2,0
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,55,171,2,0
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,35,184,2,0
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,30,191,2,0
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,55,172,2,0
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,30,170,2,0
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,35,144,2,0
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,30,158,1,0
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,30,140,1,0
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,55,169,1,0
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,35,159,1,0
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,35,189,1,0
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,35,150,1,0
19,RUMAH NO. 21  JLN SS 3/80,SEK MEN SRI PERMATA  JLN SS 3/80,30,127,1,0
