segment,x1,x2,duration,distance,weather,peak
15,RUMAH NO. 52 - JLN SS5A/14,RUMAH NO. 28 - JLN SS5A/14,10,44 ,1,0
15,RUMAH NO. 52 - JLN SS5A/14,RUMAH NO. 28 - JLN SS5A/14,20,45 ,1,0
15,RUMAH NO. 52 - JLN SS5A/14,RUMAH NO. 28 - JLN SS5A/14,5,34 ,1,0
15,RUMAH NO. 52 - JLN SS5A/14,RUMAH NO. 28 - JLN SS5A/14,15,4 ,1,0
15,RUMAH NO. 52 - JLN SS5A/14,RUMAH NO. 28 - JLN SS5A/14,15,11 ,1,0
15,RUMAH NO. 52 - JLN SS5A/14,RUMAH NO. 28 - JLN SS5A/14,40,10 ,1,0
15,RUMAH NO. 52 - JLN SS5A/14,RUMAH NO. 28 - JLN SS5A/14,20,16 ,1,1
15,RUMAH NO. 52 - JLN SS5A/14,RUMAH NO. 28 - JLN SS5A/14,10,43 ,1,1
15,RUMAH NO. 52 - JLN SS5A/14,RUMAH NO. 28 - JLN SS5A/14,10,8 ,1,1
15,RUMAH NO. 52 - JLN SS5A/14,RUMAH NO. 28 - JLN SS5A/14,5,47 ,1,1
15,RUMAH NO. 52 - JLN SS5A/14,RUMAH NO. 28 - JLN SS5A/14,15,9 ,1,1
15,RUMAH NO. 52 - JLN SS5A/14,RUMAH NO. 28 - JLN SS5A/14,20,18 ,1,1
15,RUMAH NO. 52 - JLN SS5A/14,RUMAH NO. 28 - JLN SS5A/14,20,19 ,1,1
15,RUMAH NO. 52 - JLN SS5A/14,RUMAH NO. 28 - JLN SS5A/14,15,22 ,2,0
15,RUMAH NO. 52 - JLN SS5A/14,RUMAH NO. 28 - JLN SS5A/14,15,22 ,2,0
15,RUMAH NO. 52 - JLN SS5A/14,RUMAH NO. 28 - JLN SS5A/14,10,12 ,2,0
15,RUMAH NO. 52 - JLN SS5A/14,RUMAH NO. 28 - JLN SS5A/14,15,29 ,2,0
