segment,x1,x2,duration,distance,weather,peak
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,70,33,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,45,169,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,40,83,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,70,116,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,40,172,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,70,160,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,90,176,1,1
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,60,83,1,1
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,45,117,1,1
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,45,78,1,1
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,50,31,1,1
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,55,145,1,1
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,40,137,1,1
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,30,171,1,1
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,55,95,2,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,50,67,2,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,50,134,2,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,50,63,2,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,45,5,2,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,60,112,2,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,65,10,2,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,45,113,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,45,120,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,65,144,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,40,165,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,65,85,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,95,117,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,60,120,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,35,166,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,65,118,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,40,151,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,40,44,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,45,56,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,40,163,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,60,58,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,55,50,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,65,30,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,45,136,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,45,35,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,65,51,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,35,132,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,35,171,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,40,109,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,40,90,3,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,55,54,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,55,4,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,55,28,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,40,99,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,40,169,1,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,65,110,3,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,80,109,3,0
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,80,147,3,1
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,85,71,3,1
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,105,173,3,1
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,50,45,3,1
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,95,90,1,1
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,55,157,1,1
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,45,131,1,1
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,40,107,1,1
17,YAYASAN TAIWAN BUDDHIST (OPP) JLN 5A/14,MASJID HIDAYAH  JLN MAJLIS,40,131,1,1
