segment,x1,x2,duration,distance,weather,peak
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,35,96,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,30,131,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,40,40,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,65,109,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,65,97,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,30,157,1,1
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,65,60,1,1
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,40,45,1,1
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,65,46,1,1
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,65,188,1,1
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,45,50,1,1
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,35,79,1,1
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,30,173,1,1
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,60,155,1,1
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,60,38,2,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,60,88,2,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,30,164,2,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,60,46,2,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,30,101,2,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,50,191,2,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,30,183,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,35,157,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,30,122,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,60,163,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,30,93,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,30,128,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,35,134,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,30,175,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,35,114,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,40,41,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,35,29,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,30,170,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,65,24,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,55,168,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,35,98,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,30,173,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,40,64,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,30,96,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,35,134,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,35,30,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,50,72,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,40,30,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,35,195,3,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,60,113,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,35,77,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,35,115,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,55,179,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,75,60,3,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,30,88,3,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,60,80,3,1
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,60,148,3,1
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,80,134,3,1
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,55,179,3,1
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,60,130,1,1
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,55,172,1,1
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,55,70,1,1
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,60,42,1,1
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,6,157,1,1
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,35,159,1,1
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,60,73,1,1
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,30,106,1,1
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,30,130,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,35,80,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,35,139,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,35,107,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,65,83,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,35,159,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,60,143,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,35,153,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,25,196,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,55,86,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,40,92,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,65,46,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,35,100,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,45,73,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,30,80,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,40,104,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,75,52,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,35,67,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,40,23,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,35,132,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,45,70,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,60,92,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,KUARTERS  PDRM  JLN SS4B/10,35,164,1,0
