segment,x1,x2,duration,distance,weather,peak
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,80,151,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,90,172,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,95,199,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,115,167,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,140,172,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,150,197,1,1
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,175,159,1,1
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,240,130,1,1
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,140,194,1,1
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,155,135,1,1
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,155,147,1,1
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,140,174,1,1
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,140,180,1,1
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,120,176,1,1
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,80,131,2,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,105,185,2,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,135,175,2,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,85,190,2,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,95,126,2,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,95,137,2,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,110,166,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,115,186,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,85,183,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,100,149,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,110,179,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,95,183,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,80,142,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,105,173,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,95,132,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,90,183,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,95,188,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,105,172,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,85,174,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,85,172,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,95,190,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,80,130,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,85,175,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,140,160,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,80,171,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,80,197,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,65,152,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,51,197,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,80,193,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,75,174,3,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,110,162,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,100,185,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,80,128,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,120,143,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,135,170,3,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,150,196,3,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,160,187,3,1
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,165,197,3,1
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,255,162,3,1
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,225,186,3,1
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,260,167,3,1
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,160,189,1,1
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,170,179,1,1
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,220,196,1,1
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,145,186,1,1
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,115,192,1,1
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,145,157,1,1
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,165,130,1,1
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,110,181,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,110,162,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,145,159,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,110,187,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,140,196,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,120,133,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,115,125,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,135,190,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,160,189,1,0
10,PRAYA GIANT/PERUMAHAN POLIS  JLN SS5/2,SEK KEB KELANA JAYA  JLN SS5/2,155,118,1,0
