segment,x1,x2,duration,distance,weather,peak
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,25,108,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,25,124,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,30,94,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,30,77,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,45,82,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,25,89,1,1
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,30,96,1,1
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,20,131,1,1
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,25,107,1,1
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,30,82,1,1
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,20,92,1,1
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,20,110,1,1
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,40,133,1,1
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,20,108,1,1
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,45,90,2,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,40,109,2,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,30,87,2,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,40,107,2,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,25,79,2,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,30,63,2,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,40,84,2,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,25,116,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,20,124,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,25,114,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,25,97,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,20,129,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,20,108,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,25,106,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,20,100,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,15,123,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,25,103,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,25,122,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,10,196,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,20,132,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,25,78,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,15,131,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,20,123,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,30,72,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,25,121,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,25,96,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,25,106,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,25,90,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,26,53,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,20,102,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,25,98,3,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,25,117,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,25,94,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,25,82,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,25,114,1,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,40,101,3,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,35,103,3,0
12,RUMAH NO. 24  JLN SS5/1,7 ELEVEN - JLN SS5/1,45,89,3,1
